,keyword,image,prompt
0,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/02f3c30c-b701-4b28-90cf-87aca835135a,"detailed portrait Neon Operator Girl, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
1,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/056a3334-f3bf-470d-9a08-e90f83248ab7,"detailed portrait of cyberpunk computer scientist who served as systems engineer dancer on the neo Tokyo streets of the Mecha Empire city during the Festival of Masks, futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
2,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/06459c35-940b-41f1-b2b3-e40ebcc61d17,"cyberpunk huntress. this pastel painting by the award - winning children's book author has interesting color contrasts, plenty of details and impeccable lighting. "
3,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/103b959f-56b3-4116-a783-1989729537ae,"a beautiful portrait painting of a cyberpunk girl by pascal blanche and sachin teng and sam yang and greg rutkowski, in style of colorful comic. symmetry, hyper detailed. octanev render. trending on artstation "
4,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/116715da-6d09-49e7-b344-8037eba24cb7,"cyberpunk princess. this watercolor painting by the beloved children's book author has interesting color contrasts, plenty of details and impeccable lighting. "
5,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/2b805878-9b5c-4337-b358-3fc3083c2fb8,beautiful furry art portrait commission of a androgynous furry anthro wolf fursona both wearing punk clothes in the streets of a cyberpunk city. neon signs. 
6,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/2e520ff4-b094-4cd8-a08a-a8c47866939b,"cyberpunk man shopping at a neon soaked grocery store, science fiction painting, elegant intricate digital painting artstation, art by masamune shirow, detailed "
7,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/3091a68d-ee9e-48ce-bce5-3140524b63f8,cyberpunk winter 
8,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/30a0156d-3773-4fcd-88fa-4839228fda1f,"cyberpunk character in abstract neon tokyo composition, dark and mysterious, very detailed, very realistic "
9,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/344ff400-a9d1-4d39-ad38-4811e575f197,"cyborg feeding electric pigeons in front of a neon church, cyberpunk, neon noir, by Josan Gonzalez  and Tomer Hanuka and Geof Darrow and Brad Rigney and  Greg Rutkowski and Moebius, Ghost in the shell, Blade Runner,  highly detailed, James Dean as a cyborg, UHD, 8K, wet street, Trending on artstation, bokh, dof"
10,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/35b49051-bf7e-485d-91cd-0dd1dd615b25,"highly detailed portrait of a cyberpunk hacker in front of a futuristic bangkok skyline and a buddhist temple by wadim kashin, dark colors, high contrast "
11,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/3723419e-6678-4dda-8432-3d2b27d5861a,"a portrait of a cyberpunk netrunner, very very coherent painting, street level neo-Tokyo, in the style of Gustave Doré, 4k, 8k, HD, trending on artstation"
